"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"662",62.4155434248355,0.106928643299962,0,0.403670078667776,0.861832420001034,2,0,0.264842487618709,0.424494357162918
"663",9.57934743901897,0.106928643299962,0,0.206106945714496,0.0423342691471129,2,0,0.264842487618709,0.424494357162918
"667",52.1908158968262,0.0624669741759998,0.380533373387832,0.44682568857413,0.636514858598008,3,0.37962938249713,0.2333274792643,0.317975895155695
"668",62.1547180164132,0.0624669741759998,0.779270660796033,0.189953829725907,0.61980452003673,3,0.37962938249713,0.2333274792643,0.317975895155695
"669",25.0615483659924,0.0624669741759998,0.398737287408201,0.256871858848223,0.0167103385612775,3,0.37962938249713,0.2333274792643,0.317975895155695
"706",54.6459960461903,0.0624897552144311,0.94376451542575,0,0.0842733662458226,2,0.742645730308142,0,0.0873752117514153
"707",79.7829330649639,0.0624897552144311,1.37991918588809,0,0.10581187418817,2,0.742645730308142,0,0.0873752117514153
"708",26.2732101543114,0.0624897552144311,0.436154670462342,0,0.190085240433993,2,0.742645730308142,0,0.0873752117514153
"709",8.87564459684553,0.250843233561095,0.0704728354571742,0,0.0151530595423646,2,0.392695445634959,0,0.0648538556018797
"710",64.9167133404757,0.250843233561095,0.521811304845025,0,0.0722529040697859,2,0.392695445634959,0,0.0648538556018797
"711",73.7923579373213,0.250843233561095,0.592284140302199,0,0.0874059636121505,2,0.392695445634959,0,0.0648538556018797
"721",44.1238374186844,0.0654884723510492,0,0,1.53162146531949,1,0,0,0.712560313931506
"722",34.8911241074029,0.0654884723510492,0,0,1.21113660457364,1,0,0,0.712560313931506
"723",9.23271331128149,0.0654884723510492,0,0,0.320484860745854,1,0,0,0.712560313931506
"733",12.7110038612715,0.0625175408245587,0.203353392293273,0.0918625146678069,0.0297622619749003,3,0.414077074066964,0.245017178578416,0.103072089025212
"734",42.0178098671688,0.0625175408245587,0.757645771263801,0.136174174193864,0.153302261289964,3,0.414077074066964,0.245017178578416,0.103072089025212
"735",29.3068060058973,0.0625175408245587,0.554292378970528,0.0443116595260569,0.123539999315064,3,0.414077074066964,0.245017178578416,0.103072089025212
"739",102.915504311656,0.0752489344034829,0.0814214218546017,0.591451373538247,0.0633623109537087,3,0.246362718431565,1.1981486582214,0.153858393585379
"740",231.847205054689,0.0752489344034829,0.00041413765999998,1.36111776966211,0.21228111929578,3,0.246362718431565,1.1981486582214,0.153858393585379
"741",134.494405443446,0.0752489344034829,0.0810072841946017,0.769666396123867,0.148918808342072,3,0.246362718431565,1.1981486582214,0.153858393585379
"742",22.8733458708227,0.106819253820187,0.341792374442781,0,0.0450488339267343,2,0.496945132197503,0,0.0793403025460333
"743",71.9398389911149,0.106819253820187,1.08210974640289,0,0.0970550291193391,2,0.496945132197503,0,0.0793403025460333
"744",50.0092989915204,0.106819253820187,0.74031737196011,0,0.142103863046073,2,0.496945132197503,0,0.0793403025460333
